en: 1439 keys (master)
hi: 1439/1439 (100.0%) ΓÇö 0 missing, 11 extra
mr: 1439/1439 (100.0%) ΓÇö 0 missing, 15 extra
bn: 1439/1439 (100.0%) ΓÇö 0 missing, 6 extra
ta: 543/1439 (37.7%) ΓÇö 896 missing, 6 extra
te: 335/1439 (23.3%) ΓÇö 1104 missing, 6 extra
gu: 335/1439 (23.3%) ΓÇö 1104 missing, 6 extra
kn: 335/1439 (23.3%) ΓÇö 1104 missing, 6 extra
as: 179/1439 (12.4%) ΓÇö 1260 missing, 7 extra
bho: 180/1439 (12.5%) ΓÇö 1259 missing, 6 extra
mai: 180/1439 (12.5%) ΓÇö 1259 missing, 6 extra
ml: 207/1439 (14.4%) ΓÇö 1232 missing, 2 extra
or: 180/1439 (12.5%) ΓÇö 1259 missing, 6 extra
pa: 180/1439 (12.5%) ΓÇö 1259 missing, 6 extra
ur: 180/1439 (12.5%) ΓÇö 1259 missing, 6 extra
